_id,batter,category,match_no,score,ballnumber,outcome,four_count,six_count,dot_count,SRF
65fb3b78a95ef4ed608eaf55,Abdul Basith,1-6,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eaf56,Abdul Basith,7-14,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eaf57,Abdul Basith,15-20,1,1,1,0,0,0,0,1
65fb3b78a95ef4ed608eaf58,Abdul Samad,1-6,1,4,3,1,1,0,2,0.16638655462184876
65fb3b78a95ef4ed608eaf59,Abdul Samad,7-14,5,50,48,1,2,2,19,0.6276184122748498
65fb3b78a95ef4ed608eaf5a,Abdul Samad,15-20,7,126,80,7,6,9,26,0.6939377051210602
65fb3b78a95ef4ed608eaf5b,Abhinav Manohar,1-6,2,3,4,0,0,0,1,0.7142857142857143
65fb3b78a95ef4ed608eaf5c,Abhinav Manohar,7-14,5,58,50,3,5,2,18,0.5713991910605333
65fb3b78a95ef4ed608eaf5d,Abhinav Manohar,15-20,3,57,32,3,1,5,6,0.7497383334689118
65fb3b78a95ef4ed608eaf5e,Abhishek Sharma,1-6,8,135,98,7,19,2,37,0.711413778594041
65fb3b78a95ef4ed608eaf5f,Abhishek Sharma,7-14,6,72,54,5,6,2,14,0.48355974494039367
65fb3b78a95ef4ed608eaf60,Abhishek Sharma,15-20,1,31,14,1,3,2,2,1.2216035336634987
65fb3b78a95ef4ed608eaf61,Abishek Porel,1-6,1,3,3,0,0,0,0,1
65fb3b78a95ef4ed608eaf62,Abishek Porel,7-14,2,22,16,2,0,2,5,0.4048734770384255
65fb3b78a95ef4ed608eaf63,Abishek Porel,15-20,2,9,12,3,1,0,6,0.1447089947089947
65fb3b78a95ef4ed608eaf64,Adam Zampa,1-6,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eaf65,Adam Zampa,7-14,2,4,9,1,0,0,5,0.23225806451612904
65fb3b78a95ef4ed608eaf66,Adam Zampa,15-20,2,7,8,2,0,0,1,0.1895734597156398
65fb3b78a95ef4ed608eaf67,Adil Rashid,1-6,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eaf68,Adil Rashid,7-14,1,20,14,1,1,1,5,0.5259130434782608
65fb3b78a95ef4ed608eaf69,Adil Rashid,15-20,1,4,3,1,1,0,2,0.16638655462184876
65fb3b78a95ef4ed608eaf6a,Aiden Markram,1-6,7,43,47,1,1,2,21,0.4984087337751226
65fb3b78a95ef4ed608eaf6b,Aiden Markram,7-14,10,168,128,8,12,5,30,0.6190982848926775
65fb3b78a95ef4ed608eaf6c,Aiden Markram,15-20,4,40,25,2,5,1,6,0.757328990228013
65fb3b78a95ef4ed608eaf6d,Ajinkya Rahane,1-6,7,148,76,1,14,7,13,3.2371934112941307
65fb3b78a95ef4ed608eaf6e,Ajinkya Rahane,7-14,11,152,105,10,8,6,22,0.48277688587117684
65fb3b78a95ef4ed608eaf6f,Ajinkya Rahane,15-20,1,36,12,0,3,3,1,4.172972972972973
65fb3b78a95ef4ed608eaf70,Akash Deep,1-6,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eaf71,Akash Deep,7-14,1,5,2,0,1,0,0,0.8600000000000001
65fb3b78a95ef4ed608eaf72,Akash Deep,15-20,1,12,6,1,1,1,2,0.5027522935779817
65fb3b78a95ef4ed608eaf73,Akeal Hosein,1-6,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eaf74,Akeal Hosein,7-14,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eaf75,Akeal Hosein,15-20,1,17,11,0,1,1,3,1.202607480987118
65fb3b78a95ef4ed608eaf76,Alzarri Joseph,1-6,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eaf77,Alzarri Joseph,7-14,1,3,3,0,0,0,0,1
65fb3b78a95ef4ed608eaf78,Alzarri Joseph,15-20,1,5,9,1,1,0,7,0.17813578826237056
65fb3b78a95ef4ed608eaf79,Aman Hakim Khan,1-6,1,4,5,0,1,0,4,0.275
65fb3b78a95ef4ed608eaf7a,Aman Hakim Khan,7-14,6,56,60,2,2,3,28,0.5023152709359605
65fb3b78a95ef4ed608eaf7b,Aman Hakim Khan,15-20,8,61,41,7,5,3,15,0.3790363674537107
65fb3b78a95ef4ed608eaf7c,Ambati Rayudu,1-6,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eaf7d,Ambati Rayudu,7-14,10,74,59,6,3,5,21,0.4490768737624002
65fb3b78a95ef4ed608eaf7e,Ambati Rayudu,15-20,6,86,56,4,7,4,15,0.7827279610600325
65fb3b78a95ef4ed608eaf7f,Amit Mishra,1-6,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eaf80,Amit Mishra,7-14,1,6,13,0,0,0,7,0.38632986627043087
65fb3b78a95ef4ed608eaf81,Amit Mishra,15-20,1,13,17,1,2,0,10,0.3350111160515785
65fb3b78a95ef4ed608eaf82,Andre Russell,1-6,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eaf83,Andre Russell,7-14,9,95,75,5,5,6,31,0.6045150227717042
65fb3b78a95ef4ed608eaf84,Andre Russell,15-20,9,139,87,7,8,12,36,0.8423163655953964
65fb3b78a95ef4ed608eaf85,Anmolpreet Singh,1-6,4,99,76,2,14,2,32,1.130326956485556
65fb3b78a95ef4ed608eaf86,Anmolpreet Singh,7-14,2,7,7,2,1,0,3,0.18517618469015792
65fb3b78a95ef4ed608eaf87,Anmolpreet Singh,15-20,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eaf88,Anrich Nortje,1-6,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eaf89,Anrich Nortje,7-14,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eaf8a,Anrich Nortje,15-20,7,38,29,3,6,0,9,0.4997977723524418
65fb3b78a95ef4ed608eaf8b,Anuj Rawat,1-6,1,6,4,1,1,0,1,0.29215686274509806
65fb3b78a95ef4ed608eaf8c,Anuj Rawat,7-14,4,13,23,2,0,0,14,0.12972363226170333
65fb3b78a95ef4ed608eaf8d,Anuj Rawat,15-20,4,76,45,1,5,4,8,1.763692225487577
65fb3b78a95ef4ed608eaf8e,Anukul Roy,1-6,1,4,5,1,1,0,4,0.15
65fb3b78a95ef4ed608eaf8f,Anukul Roy,7-14,1,0,1,1,0,0,1,0
65fb3b78a95ef4ed608eaf90,Anukul Roy,15-20,2,19,13,0,2,0,2,1.3061542745753274
65fb3b78a95ef4ed608eaf91,Arjun Tendulkar,1-6,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eaf92,Arjun Tendulkar,7-14,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eaf93,Arjun Tendulkar,15-20,1,13,9,1,0,1,2,0.43678718757583107
65fb3b78a95ef4ed608eaf94,Arshad Khan,1-6,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eaf95,Arshad Khan,7-14,1,2,4,1,0,0,2,0.2631578947368421
65fb3b78a95ef4ed608eaf96,Arshad Khan,15-20,2,16,11,1,0,1,2,0.46671018276762405
65fb3b78a95ef4ed608eaf97,Arshdeep Singh,1-6,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eaf98,Arshdeep Singh,7-14,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eaf99,Arshdeep Singh,15-20,1,2,2,0,0,0,1,0.6060606060606061
65fb3b78a95ef4ed608eaf9a,Atharva Taide,1-6,7,134,83,6,14,6,28,0.8868747769807188
65fb3b78a95ef4ed608eaf9b,Atharva Taide,7-14,4,62,53,3,6,0,15,0.47969098657643133
65fb3b78a95ef4ed608eaf9c,Atharva Taide,15-20,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eaf9d,Avesh Khan,1-6,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eaf9e,Avesh Khan,7-14,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eaf9f,Avesh Khan,15-20,1,1,1,0,0,0,0,1
65fb3b78a95ef4ed608eafa0,Axar Patel,1-6,1,6,11,0,1,0,8,0.33933747412008286
65fb3b78a95ef4ed608eafa1,Axar Patel,7-14,10,125,107,6,10,5,40,0.621456825856247
65fb3b78a95ef4ed608eafa2,Axar Patel,15-20,8,170,98,7,10,9,19,0.889335386928622
65fb3b78a95ef4ed608eafa3,Ayush Badoni,1-6,2,14,18,1,2,0,10,0.3458712715855573
65fb3b78a95ef4ed608eafa4,Ayush Badoni,7-14,7,88,72,4,4,4,24,0.5555763823805061
65fb3b78a95ef4ed608eafa5,Ayush Badoni,15-20,8,160,96,7,7,8,18,0.7348707197763802
65fb3b78a95ef4ed608eafa6,Ben Stokes,1-6,1,2,3,0,0,0,1,0.6741573033707865
65fb3b78a95ef4ed608eafa7,Ben Stokes,7-14,2,6,6,1,1,0,3,0.2514767932489452
65fb3b78a95ef4ed608eafa8,Ben Stokes,15-20,1,8,6,1,1,0,1,0.34974874371859305
65fb3b78a95ef4ed608eafa9,Bhanuka Rajapaksa,1-6,3,38,28,2,3,2,11,0.6174228675136116
65fb3b78a95ef4ed608eafaa,Bhanuka Rajapaksa,7-14,3,36,33,3,3,0,10,0.3006540447504303
65fb3b78a95ef4ed608eafab,Bhanuka Rajapaksa,15-20,1,2,3,1,0,0,1,0.28708133971291866
65fb3b78a95ef4ed608eafac,Bhuvneshwar Kumar,1-6,0,0,0,0,0,0,0,0
