match_no,inning_no,over_range,runs,run_rate,wickets,6s,4s,dot_count,balls_played
1,1,0-6,51,8.5,2,2,7,17,37
1,1,7-15,82,9.11111111111111,2,8,3,21,54
1,1,16-20,45,8.999999999999996,3,3,1,7,30
1,2,0-6,65,10.833333333333334,1,3,7,12,39
1,2,7-15,73,8.11111111111111,3,2,5,15,56
1,2,16-20,44,9.56521739130435,1,3,4,10,27
2,1,0-6,56,9.333333333333334,1,3,7,18,36
2,1,7-15,87,9.666666666666666,3,3,7,16,56
2,1,16-20,48,9.599999999999996,1,3,2,8,31
2,2,0-6,46,7.666666666666667,3,1,7,18,37
2,2,7-15,90,10.0,3,4,6,15,56
2,2,16-20,10,10.0,1,1,0,1,6
3,1,0-6,30,5.0,1,1,1,18,36
3,1,7-15,97,10.777777777777779,3,9,2,14,54
3,1,16-20,66,13.199999999999996,2,6,2,8,35
3,2,0-6,47,7.833333333333333,2,0,8,19,40
3,2,7-15,63,7.0,3,1,5,18,55
3,2,16-20,33,6.599999999999998,4,1,2,15,31
4,1,0-6,85,14.166666666666666,1,3,13,12,37
4,1,7-15,75,8.333333333333334,2,3,6,15,55
4,1,16-20,43,8.599999999999996,2,2,3,9,30
4,2,0-6,30,5.0,2,0,4,21,36
4,2,7-15,55,6.111111111111111,5,2,1,24,59
4,2,16-20,46,9.199999999999998,1,2,3,12,31
5,1,0-6,29,4.833333333333333,3,1,3,23,37
5,1,7-15,73,8.11111111111111,2,3,6,18,55
5,1,16-20,69,13.799999999999995,2,3,6,8,38
5,2,0-6,53,8.833333333333334,0,3,5,17,39
5,2,7-15,95,10.555555555555555,1,7,5,17,54
5,2,16-20,24,15.000000000000004,1,3,1,3,9
6,1,0-6,79,13.166666666666666,0,4,7,8,38
6,1,7-15,85,9.444444444444445,3,5,6,17,55
6,1,16-20,53,10.599999999999996,4,4,3,7,31
6,2,0-6,80,13.333333333333334,1,2,10,11,43
6,2,7-15,70,7.777777777777778,4,5,2,19,55
6,2,16-20,55,10.999999999999996,2,2,1,7,38
7,1,0-6,52,8.666666666666666,2,0,8,21,40
7,1,7-15,69,7.666666666666667,3,3,5,20,55
7,1,16-20,41,8.199999999999998,3,3,2,12,30
7,2,0-6,54,9.0,3,2,7,20,38
7,2,7-15,63,7.0,1,0,4,12,56
7,2,16-20,46,13.142857142857137,0,3,3,1,21
8,1,0-6,63,10.5,0,2,9,15,39
8,1,7-15,89,9.88888888888889,1,3,7,10,55
8,1,16-20,45,8.999999999999996,3,2,3,9,33
8,2,0-6,57,9.5,3,3,6,18,38
8,2,7-15,67,7.444444444444445,3,2,3,19,56
8,2,16-20,68,13.599999999999994,1,5,4,2,31
9,1,0-6,47,7.833333333333333,2,0,6,22,40
9,1,7-15,93,10.333333333333334,3,5,7,14,55
9,1,16-20,64,12.799999999999995,2,2,7,9,34
9,2,0-6,50,8.333333333333334,2,2,6,17,36
9,2,7-15,52,5.777777777777778,7,1,5,24,55
9,2,16-20,21,7.500000000000003,1,1,2,7,16
10,1,0-6,43,7.166666666666667,1,1,5,15,37
10,1,7-15,40,4.444444444444445,3,0,2,22,55
10,1,16-20,38,7.599999999999997,4,2,3,13,30
10,2,0-6,45,7.5,2,1,5,18,38
10,2,7-15,73,8.11111111111111,3,1,8,25,57
10,2,16-20,9,9.0,0,1,0,2,6
11,1,0-6,68,11.333333333333334,0,0,14,14,38
11,1,7-15,62,6.888888888888889,3,2,4,19,55
11,1,16-20,69,13.799999999999995,1,5,5,5,31
11,2,0-6,38,6.333333333333333,3,0,6,21,39
11,2,7-15,75,8.333333333333334,2,0,7,9,58
11,2,16-20,29,5.799999999999998,4,0,2,12,31
12,1,0-6,61,10.166666666666666,1,1,9,10,37
12,1,7-15,48,5.333333333333333,5,1,2,20,56
12,1,16-20,48,9.599999999999996,2,2,4,6,32
12,2,0-6,68,11.333333333333334,1,3,7,10,39
12,2,7-15,66,7.333333333333333,2,2,5,17,54
12,2,16-20,25,7.142857142857139,0,0,3,7,21
13,1,0-6,54,9.0,1,0,7,13,41
13,1,7-15,78,8.666666666666666,2,2,7,14,55
13,1,16-20,72,14.399999999999995,1,5,3,2,31
13,2,0-6,43,7.166666666666667,2,2,4,18,36
13,2,7-15,106,11.777777777777779,1,7,9,14,55
13,2,16-20,58,11.599999999999996,4,6,2,10,32
14,1,0-6,41,6.833333333333333,3,1,6,23,39
14,1,7-15,47,5.222222222222222,6,0,7,31,55
14,1,16-20,55,10.999999999999996,0,5,4,14,31
14,2,0-6,34,5.666666666666667,1,0,6,20,36
14,2,7-15,84,9.333333333333334,1,3,11,20,54
14,2,16-20,27,10.799999999999992,0,0,5,2,13
15,1,0-6,56,9.333333333333334,0,3,5,12,36
15,1,7-15,81,9.0,1,5,4,12,55
15,1,16-20,75,14.999999999999995,1,7,4,7,33
15,2,0-6,37,6.166666666666667,3,0,5,18,38
15,2,7-15,134,14.88888888888889,2,11,10,10,57
15,2,16-20,42,8.399999999999997,4,1,3,8,34
16,1,0-6,51,8.5,1,0,10,16,37
16,1,7-15,72,8.0,4,2,6,19,57
16,1,16-20,49,10.208333333333336,5,2,4,9,30
16,2,0-6,68,11.333333333333334,0,3,10,14,37
16,2,7-15,55,6.111111111111111,1,3,2,22,55
16,2,16-20,50,9.999999999999996,3,4,3,12,30
17,1,0-6,57,9.5,1,1,8,10,36
17,1,7-15,78,8.666666666666666,3,4,1,15,59
17,1,16-20,40,7.999999999999997,4,2,2,9,31
17,2,0-6,45,7.5,1,1,5,15,36
17,2,7-15,68,7.555555555555555,5,0,5,15,58
17,2,16-20,59,11.799999999999995,0,5,2,5,33
18,1,0-6,52,8.666666666666666,2,1,8,20,41
18,1,7-15,47,5.222222222222222,2,0,6,26,55
18,1,16-20,54,10.799999999999995,4,4,2,8,33
18,2,0-6,56,9.333333333333334,1,0,9,12,36
18,2,7-15,55,6.111111111111111,2,0,5,17,54
18,2,16-20,43,8.775510204081632,1,1,4,5,29
19,1,0-6,65,10.833333333333334,2,2,7,11,39
19,1,7-15,92,10.222222222222221,1,6,5,16,56
19,1,16-20,71,14.199999999999996,1,3,8,3,33
19,2,0-6,62,10.333333333333334,3,3,8,15,37
19,2,7-15,80,8.88888888888889,2,4,5,17,57
19,2,16-20,63,12.599999999999996,2,3,5,10,34
20,1,0-6,47,7.833333333333333,1,1,6,14,37
20,1,7-15,87,9.666666666666666,5,7,3,16,55
20,1,16-20,40,7.999999999999997,0,0,4,6,32
20,2,0-6,32,5.333333333333333,4,0,5,20,36
20,2,7-15,76,8.444444444444445,3,2,7,15,55
20,2,16-20,43,8.599999999999996,2,0,6,11,32
21,1,0-6,49,8.166666666666666,0,3,4,16,37
21,1,7-15,62,6.888888888888889,4,0,6,22,57
21,1,16-20,48,9.599999999999996,4,3,1,8,33
21,2,0-6,45,7.5,3,1,7,19,36
21,2,7-15,70,7.777777777777778,2,3,5,21,55
21,2,16-20,46,9.78723404255319,3,2,4,10,31
22,1,0-6,57,9.5,2,4,2,16,40
22,1,7-15,83,9.222222222222221,2,5,4,14,55
22,1,16-20,45,8.999999999999996,2,1,6,12,33
22,2,0-6,72,12.0,1,6,6,14,37
22,2,7-15,91,10.11111111111111,2,7,6,21,55
22,2,16-20,23,8.214285714285717,2,0,3,3,17
23,1,0-6,42,7.0,2,0,6,17,38
23,1,7-15,77,8.555555555555555,1,3,4,10,55
23,1,16-20,58,11.599999999999996,4,4,3,5,31
23,2,0-6,26,4.333333333333333,2,2,2,27,37
23,2,7-15,88,9.777777777777779,3,7,4,14,54
23,2,16-20,65,14.130434782608697,2,6,4,7,27
24,1,0-6,53,8.833333333333334,1,3,4,13,36
24,1,7-15,112,12.444444444444445,1,9,6,12,56
24,1,16-20,61,12.199999999999996,4,5,2,7,34
24,2,0-6,75,12.5,2,6,7,14,36
24,2,7-15,94,10.444444444444445,2,8,3,11,55
24,2,16-20,49,9.799999999999997,4,2,3,10,35
25,1,0-6,53,8.833333333333334,1,2,7,16,37
25,1,7-15,77,8.555555555555555,2,4,6,19,54
25,1,16-20,62,12.399999999999995,2,3,6,6,31
25,2,0-6,42,7.0,2,1,4,14,38
25,2,7-15,91,10.11111111111111,4,3,8,11,57
25,2,16-20,45,9.183673469387754,4,0,6,10,32
26,1,0-6,37,6.166666666666667,0,1,4,20,37
26,1,7-15,72,8.0,4,3,5,16,55
26,1,16-20,45,8.999999999999996,3,1,4,7,30
26,2,0-6,47,7.833333333333333,0,2,5,19,37
26,2,7-15,57,6.333333333333333,3,1,2,16,56
26,2,16-20,40,7.999999999999997,3,1,5,11,30
27,1,0-6,59,9.833333333333334,0,2,6,10,36
27,1,7-15,71,7.888888888888889,0,2,4,11,56
27,1,16-20,44,8.799999999999997,4,2,3,10,31
27,2,0-6,49,8.166666666666666,4,3,5,18,37
27,2,7-15,76,8.444444444444445,3,5,3,21,55
27,2,16-20,25,6.9444444444444455,3,1,1,5,21
28,1,0-6,35,5.833333333333333,3,0,6,21,38
28,1,7-15,59,6.555555555555555,5,3,3,24,57
28,1,16-20,33,6.599999999999998,2,3,1,21,35
28,2,0-6,61,10.166666666666666,1,0,12,15,38
28,2,7-15,43,4.777777777777778,3,0,5,26,54
28,2,16-20,24,5.217391304347826,2,0,0,9,29
29,1,0-6,45,7.5,1,1,5,16,37
29,1,7-15,57,6.333333333333333,4,1,3,14,54
29,1,16-20,32,6.399999999999998,2,0,3,9,31
29,2,0-6,60,10.0,0,1,9,12,36
29,2,7-15,51,5.666666666666667,2,0,3,17,54
29,2,16-20,27,7.105263157894739,1,0,4,8,22
30,1,0-6,40,6.666666666666667,1,0,5,18,36
30,1,7-15,52,5.777777777777778,3,1,3,19,54
30,1,16-20,43,8.599999999999996,2,3,1,8,30
